구분,고급휘발유,보통휘발유,자동차용경유
2024년05월28일,1933.26,1678.28,1511.65
2024년05월29일,1931.81,1676.54,1509.36
2024년05월30일,1931.07,1675.12,1507.42
2024년05월31일,1930.14,1673.58,1505.54
2024년06월01일,1926.30,1671.21,1502.62
2024년06월02일,1925.71,1670.58,1501.70
2024년06월03일,1927.49,1669.55,1500.45
2024년06월04일,1925.85,1667.38,1497.91
2024년06월05일,1923.68,1664.71,1495.01
2024년06월06일,1921.09,1662.43,1492.49
2024년06월07일,1920.24,1660.88,1490.85
2024년06월08일,1916.06,1658.98,1488.70
2024년06월09일,1915.26,1658.24,1487.65
2024년06월10일,1917.76,1657.02,1486.14
2024년06월11일,1915.39,1654.69,1483.48
2024년06월12일,1913.20,1652.63,1481.37
2024년06월13일,1912.20,1651.20,1480.16
2024년06월14일,1911.38,1649.93,1479.12
2024년06월15일,1910.63,1649.44,1478.58
2024년06월16일,1910.41,1649.11,1478.02
2024년06월17일,1910.81,1648.75,1477.93
2024년06월18일,1910.80,1648.30,1477.68
2024년06월19일,1912.09,1648.55,1478.00
2024년06월20일,1912.28,1648.89,1478.52
2024년06월21일,1912.31,1649.48,1479.38
2024년06월22일,1911.62,1650.95,1480.94
2024년06월23일,1911.99,1651.44,1481.58
2024년06월24일,1913.61,1653.06,1483.55
2024년06월25일,1914.54,1654.90,1486.02
2024년06월26일,1916.36,1657.26,1488.69
2024년06월27일,1918.44,1660.17,1491.92
2024년06월28일,1920.09,1663.14,1495.18
2024년06월29일,1921.02,1667.38,1499.60
2024년06월30일,1922.99,1670.76,1502.88
2024년07월01일,1928.15,1679.05,1511.73
2024년07월02일,1930.37,1683.42,1516.22
2024년07월03일,1931.56,1686.19,1519.53
2024년07월04일,1944.72,1691.72,1524.84
2024년07월05일,1948.44,1695.76,1528.95
2024년07월06일,1950.78,1699.45,1532.71
2024년07월07일,1952.04,1701.08,1534.33
2024년07월08일,1955.63,1704.71,1538.36
2024년07월09일,1957.44,1707.74,1541.87
2024년07월10일,1958.21,1709.16,1543.44
2024년07월11일,1957.12,1710.10,1544.73
2024년07월12일,1958.01,1710.92,1546.05
2024년07월13일,1956.15,1711.48,1546.79
2024년07월14일,1956.50,1711.93,1547.09
2024년07월15일,1958.78,1713.04,1548.59
2024년07월16일,1959.23,1713.32,1548.83
2024년07월17일,1958.34,1713.46,1549.23
2024년07월18일,1958.19,1713.56,1549.44
2024년07월19일,1959.15,1713.91,1550.02
2024년07월20일,1955.19,1713.64,1549.81
2024년07월21일,1955.05,1713.63,1549.77
2024년07월22일,1958.10,1714.01,1550.54
2024년07월23일,1957.91,1713.90,1550.59
2024년07월24일,1957.41,1713.33,1550.22
2024년07월25일,1956.98,1712.92,1549.97
2024년07월26일,1956.66,1712.45,1549.59
2024년07월27일,1953.10,1711.89,1548.94
2024년07월28일,1953.02,1711.75,1548.81
2024년07월29일,1956.38,1711.52,1549.11
2024년07월30일,1956.42,1711.32,1548.59
2024년07월31일,1956.02,1710.71,1547.88
2024년08월01일,1954.57,1709.90,1547.06
2024년08월02일,1954.50,1709.80,1546.96
2024년08월03일,1950.87,1708.90,1546.08
2024년08월04일,1950.40,1708.66,1545.77
2024년08월05일,1953.27,1708.43,1545.59
2024년08월06일,1952.16,1707.01,1544.30
2024년08월07일,1951.17,1705.17,1542.62
2024년08월08일,1950.01,1703.51,1541.15
2024년08월09일,1948.94,1702.03,1539.69
2024년08월10일,1944.94,1700.22,1537.85
2024년08월11일,1944.79,1699.52,1537.06
2024년08월12일,1946.00,1698.17,1536.02
2024년08월13일,1944.76,1696.48,1534.35
2024년08월14일,1943.97,1695.28,1533.09
2024년08월15일,1943.15,1694.46,1532.19
2024년08월16일,1943.09,1693.88,1531.77
2024년08월17일,1939.98,1692.92,1530.64
2024년08월18일,1939.83,1692.56,1530.03
2024년08월19일,1941.86,1691.89,1529.64
2024년08월20일,1940.82,1689.69,1527.40
2024년08월21일,1939.19,1687.00,1524.55
2024년08월22일,1937.07,1683.62,1521.15
2024년08월23일,1934.45,1680.07,1517.69
2024년08월24일,1930.78,1677.52,1515.24
2024년08월25일,1930.21,1676.60,1514.07
2024년08월26일,1931.49,1674.86,1512.46
2024년08월27일,1929.71,1672.19,1510.15
2024년08월28일,1928.26,1670.50,1508.18
2024년08월29일,1926.61,1668.40,1506.02
2024년08월30일,1924.51,1666.35,1503.83
2024년08월31일,1920.42,1664.38,1501.85
2024년09월01일,1919.60,1663.28,1500.53
2024년09월02일,1921.14,1661.54,1498.88
2024년09월03일,1919.27,1659.18,1496.54
2024년09월04일,1916.61,1656.06,1493.27
2024년09월05일,1913.55,1652.29,1489.49
2024년09월06일,1910.85,1648.95,1486.26
2024년09월07일,1905.58,1645.75,1482.78
2024년09월08일,1904.37,1644.44,1481.37
2024년09월09일,1904.65,1641.48,1478.58
2024년09월10일,1901.31,1636.82,1473.95
2024년09월11일,1897.72,1631.27,1468.18
2024년09월12일,1894.59,1626.47,1463.45
2024년09월13일,1891.73,1622.46,1459.38
2024년09월14일,1887.45,1618.98,1455.65
2024년09월15일,1888.26,1617.72,1454.06
2024년09월16일,1887.85,1616.39,1452.92
2024년09월17일,1887.61,1615.30,1451.71
2024년09월18일,1887.00,1614.27,1450.25
2024년09월19일,1886.90,1611.76,1447.78
2024년09월20일,1883.96,1608.25,1444.03
2024년09월21일,1879.53,1606.02,1441.64
2024년09월22일,1878.55,1604.98,1440.22
2024년09월23일,1879.82,1602.88,1438.19
2024년09월24일,1876.52,1600.13,1435.06
2024년09월25일,1875.17,1597.91,1432.49
2024년09월26일,1873.58,1595.91,1429.96
2024년09월27일,1871.84,1593.90,1427.87
2024년09월28일,1866.43,1591.38,1425.01
2024년09월29일,1865.90,1590.60,1423.72
2024년09월30일,1865.98,1589.60,1423.10
2024년10월01일,1864.45,1587.24,1419.81
2024년10월02일,1864.91,1585.87,1418.28
2024년10월03일,1863.68,1584.75,1416.74
2024년10월04일,1863.01,1584.19,1416.23
2024년10월05일,1860.08,1583.90,1415.44
2024년10월06일,1859.90,1583.75,1415.12
2024년10월07일,1861.98,1584.15,1415.63
2024년10월08일,1862.50,1585.44,1416.55
2024년10월09일,1863.43,1586.52,1417.49
2024년10월10일,1863.65,1587.36,1418.08
2024년10월11일,1863.76,1588.27,1418.91
2024년10월12일,1860.85,1588.80,1419.49
2024년10월13일,1860.94,1589.69,1419.74
2024년10월14일,1864.68,1591.36,1421.39
2024년10월15일,1865.66,1592.27,1422.05
2024년10월16일,1865.49,1592.29,1422.16
2024년10월17일,1866.27,1592.35,1422.04
2024년10월18일,1866.16,1592.28,1421.97
2024년10월19일,1863.00,1591.96,1421.58
2024년10월20일,1862.82,1592.00,1421.48
2024년10월21일,1866.97,1592.82,1422.31
2024년10월22일,1866.82,1592.90,1422.06
2024년10월23일,1867.22,1593.43,1422.51
2024년10월24일,1866.14,1594.15,1423.19
2024년10월25일,1866.81,1595.75,1424.77
2024년10월26일,1865.95,1597.45,1426.19
2024년10월27일,1866.72,1598.18,1426.59
2024년10월28일,1869.93,1599.57,1428.15
2024년10월29일,1870.72,1600.38,1428.85
